,Frame,Mean,Game,Alg,Model,Average Score,Best Score
0,400000,271.48846960167714,Asterix,Amp,"[0, 1, 2, 3, 4]",,38938.09523809524
1,800000,303.23660714285717,Asterix,Amp,"[0, 1, 2, 3, 4]",,38938.09523809524
2,1200000,380.0524934383202,Asterix,Amp,"[0, 1, 2, 3, 4]",,38938.09523809524
3,1600000,524.207492795389,Asterix,Amp,"[0, 1, 2, 3, 4]",,38938.09523809524
4,2000000,630.1801801801802,Asterix,Amp,"[0, 1, 2, 3, 4]",,38938.09523809524
5,2400000,874.4047619047619,Asterix,Amp,"[0, 1, 2, 3, 4]",,38938.09523809524
6,2800000,840.8045977011494,Asterix,Amp,"[0, 1, 2, 3, 4]",,38938.09523809524
7,3200000,1039.795918367347,Asterix,Amp,"[0, 1, 2, 3, 4]",,38938.09523809524
8,3600000,1364.367816091954,Asterix,Amp,"[0, 1, 2, 3, 4]",,38938.09523809524
9,4000000,1913.4751773049645,Asterix,Amp,"[0, 1, 2, 3, 4]",814.2013514528601,38938.09523809524
10,4400000,2111.0687022900765,Asterix,Amp,"[0, 1, 2, 3, 4]",998.1593747216999,38938.09523809524
11,4800000,2603.684210526316,Asterix,Amp,"[0, 1, 2, 3, 4]",1228.2041350600457,38938.09523809524
12,5200000,2661.650485436893,Asterix,Amp,"[0, 1, 2, 3, 4]",1456.3639342599029,38938.09523809524
13,5600000,2658.653846153846,Asterix,Amp,"[0, 1, 2, 3, 4]",1669.8085695957488,38938.09523809524
14,6000000,2834.8684210526317,Asterix,Amp,"[0, 1, 2, 3, 4]",1890.277393682994,38938.09523809524
15,6400000,2955.31914893617,Asterix,Amp,"[0, 1, 2, 3, 4]",2098.3688323861347,38938.09523809524
16,6800000,3402.6315789473683,Asterix,Amp,"[0, 1, 2, 3, 4]",2354.551530510757,38938.09523809524
17,7200000,3260.0,Asterix,Amp,"[0, 1, 2, 3, 4]",2576.571938674022,38938.09523809524
18,7600000,3714.6666666666665,Asterix,Amp,"[0, 1, 2, 3, 4]",2811.6018237314934,38938.09523809524
19,8000000,3952.9411764705883,Asterix,Amp,"[0, 1, 2, 3, 4]",3015.5484236480556,38938.09523809524
20,8400000,4362.244897959184,Asterix,Amp,"[0, 1, 2, 3, 4]",3240.6660432149665,38938.09523809524
21,8800000,5800.0,Asterix,Amp,"[0, 1, 2, 3, 4]",3560.297622162335,38938.09523809524
22,9200000,4674.603174603175,Asterix,Amp,"[0, 1, 2, 3, 4]",3761.5928910789635,38938.09523809524
23,9600000,4086.3636363636365,Asterix,Amp,"[0, 1, 2, 3, 4]",3904.3638700999427,38938.09523809524
24,10000000,5385.9375,Asterix,Amp,"[0, 1, 2, 3, 4]",4159.470777994679,38938.09523809524
25,10400000,6011.016949152542,Asterix,Amp,"[0, 1, 2, 3, 4]",4465.040558016317,38938.09523809524
26,10800000,4578.571428571428,Asterix,Amp,"[0, 1, 2, 3, 4]",4582.634542978723,38938.09523809524
27,11200000,6525.0,Asterix,Amp,"[0, 1, 2, 3, 4]",4909.134542978723,38938.09523809524
28,11600000,6305.454545454545,Asterix,Amp,"[0, 1, 2, 3, 4]",5168.213330857511,38938.09523809524
29,12000000,7166.666666666667,Asterix,Amp,"[0, 1, 2, 3, 4]",5489.585879877119,38938.09523809524
30,12400000,6835.087719298245,Asterix,Amp,"[0, 1, 2, 3, 4]",5736.870162011024,38938.09523809524
