,Frame,Mean,Game,Alg,Model
0,0,233.5483870967742,Asterix,Amp,"[0, 1, 2, 3, 4]"
1,1600000,271.48846960167714,Asterix,Amp,"[0, 1, 2, 3, 4]"
2,3200000,303.23660714285717,Asterix,Amp,"[0, 1, 2, 3, 4]"
3,4800000,380.0524934383202,Asterix,Amp,"[0, 1, 2, 3, 4]"
4,6400000,524.207492795389,Asterix,Amp,"[0, 1, 2, 3, 4]"
5,8000000,630.1801801801802,Asterix,Amp,"[0, 1, 2, 3, 4]"
6,9600000,874.4047619047619,Asterix,Amp,"[0, 1, 2, 3, 4]"
7,11200000,840.8045977011494,Asterix,Amp,"[0, 1, 2, 3, 4]"
8,12800000,1039.795918367347,Asterix,Amp,"[0, 1, 2, 3, 4]"
9,14400000,1364.367816091954,Asterix,Amp,"[0, 1, 2, 3, 4]"
10,16000000,1913.4751773049645,Asterix,Amp,"[0, 1, 2, 3, 4]"
11,17600000,2111.0687022900765,Asterix,Amp,"[0, 1, 2, 3, 4]"
12,19200000,2603.684210526316,Asterix,Amp,"[0, 1, 2, 3, 4]"
13,20800000,2661.650485436893,Asterix,Amp,"[0, 1, 2, 3, 4]"
14,22400000,2658.653846153846,Asterix,Amp,"[0, 1, 2, 3, 4]"
15,24000000,2834.8684210526317,Asterix,Amp,"[0, 1, 2, 3, 4]"
16,25600000,2955.31914893617,Asterix,Amp,"[0, 1, 2, 3, 4]"
17,27200000,3402.6315789473683,Asterix,Amp,"[0, 1, 2, 3, 4]"
18,28800000,3260.0,Asterix,Amp,"[0, 1, 2, 3, 4]"
19,30400000,3714.6666666666665,Asterix,Amp,"[0, 1, 2, 3, 4]"
20,32000000,3952.9411764705883,Asterix,Amp,"[0, 1, 2, 3, 4]"
21,33600000,4362.244897959184,Asterix,Amp,"[0, 1, 2, 3, 4]"
22,35200000,5800.0,Asterix,Amp,"[0, 1, 2, 3, 4]"
23,36800000,4674.603174603175,Asterix,Amp,"[0, 1, 2, 3, 4]"
24,38400000,4086.3636363636365,Asterix,Amp,"[0, 1, 2, 3, 4]"
25,40000000,5385.9375,Asterix,Amp,"[0, 1, 2, 3, 4]"
26,41600000,6011.016949152542,Asterix,Amp,"[0, 1, 2, 3, 4]"
27,43200000,4578.571428571428,Asterix,Amp,"[0, 1, 2, 3, 4]"
28,44800000,6525.0,Asterix,Amp,"[0, 1, 2, 3, 4]"
29,46400000,6305.454545454545,Asterix,Amp,"[0, 1, 2, 3, 4]"
30,48000000,7166.666666666667,Asterix,Amp,"[0, 1, 2, 3, 4]"
31,49600000,6835.087719298245,Asterix,Amp,"[0, 1, 2, 3, 4]"
32,51200000,7142.1875,Asterix,Amp,"[0, 1, 2, 3, 4]"
33,52800000,6775.0,Asterix,Amp,"[0, 1, 2, 3, 4]"
34,54400000,7858.139534883721,Asterix,Amp,"[0, 1, 2, 3, 4]"
35,56000000,7955.555555555556,Asterix,Amp,"[0, 1, 2, 3, 4]"
36,57600000,7506.382978723404,Asterix,Amp,"[0, 1, 2, 3, 4]"
37,59200000,7671.929824561404,Asterix,Amp,"[0, 1, 2, 3, 4]"
38,60800000,8356.09756097561,Asterix,Amp,"[0, 1, 2, 3, 4]"
39,62400000,8839.130434782608,Asterix,Amp,"[0, 1, 2, 3, 4]"
40,64000000,8023.333333333333,Asterix,Amp,"[0, 1, 2, 3, 4]"
41,65600000,9290.0,Asterix,Amp,"[0, 1, 2, 3, 4]"
42,67200000,11132.35294117647,Asterix,Amp,"[0, 1, 2, 3, 4]"
43,68800000,8340.54054054054,Asterix,Amp,"[0, 1, 2, 3, 4]"
44,70400000,9590.90909090909,Asterix,Amp,"[0, 1, 2, 3, 4]"
45,72000000,15517.241379310344,Asterix,Amp,"[0, 1, 2, 3, 4]"
46,73600000,20853.571428571428,Asterix,Amp,"[0, 1, 2, 3, 4]"
47,75200000,10773.91304347826,Asterix,Amp,"[0, 1, 2, 3, 4]"
48,76800000,22864.516129032258,Asterix,Amp,"[0, 1, 2, 3, 4]"
49,78400000,28909.677419354837,Asterix,Amp,"[0, 1, 2, 3, 4]"
50,80000000,26821.875,Asterix,Amp,"[0, 1, 2, 3, 4]"
51,81600000,26100.0,Asterix,Amp,"[0, 1, 2, 3, 4]"
52,83200000,31159.375,Asterix,Amp,"[0, 1, 2, 3, 4]"
53,84800000,30710.25641025641,Asterix,Amp,"[0, 1, 2, 3, 4]"
54,86400000,32638.235294117647,Asterix,Amp,"[0, 1, 2, 3, 4]"
55,88000000,34616.666666666664,Asterix,Amp,"[0, 1, 2, 3, 4]"
56,89600000,31957.894736842107,Asterix,Amp,"[0, 1, 2, 3, 4]"
57,91200000,33405.40540540541,Asterix,Amp,"[0, 1, 2, 3, 4]"
58,92800000,33233.333333333336,Asterix,Amp,"[0, 1, 2, 3, 4]"
59,94400000,37259.45945945946,Asterix,Amp,"[0, 1, 2, 3, 4]"
60,96000000,31664.285714285714,Asterix,Amp,"[0, 1, 2, 3, 4]"
61,97600000,34907.5,Asterix,Amp,"[0, 1, 2, 3, 4]"
62,99200000,36171.794871794875,Asterix,Amp,"[0, 1, 2, 3, 4]"
63,100800000,34690.47619047619,Asterix,Amp,"[0, 1, 2, 3, 4]"
64,102400000,36607.31707317073,Asterix,Amp,"[0, 1, 2, 3, 4]"
65,104000000,35714.28571428572,Asterix,Amp,"[0, 1, 2, 3, 4]"
66,105600000,37026.829268292684,Asterix,Amp,"[0, 1, 2, 3, 4]"
67,107200000,37547.619047619046,Asterix,Amp,"[0, 1, 2, 3, 4]"
68,108800000,36648.83720930233,Asterix,Amp,"[0, 1, 2, 3, 4]"
69,110400000,37067.441860465115,Asterix,Amp,"[0, 1, 2, 3, 4]"
70,112000000,38938.09523809524,Asterix,Amp,"[0, 1, 2, 3, 4]"
71,113600000,37853.48837209302,Asterix,Amp,"[0, 1, 2, 3, 4]"
72,115200000,36472.09302325582,Asterix,Amp,"[0, 1, 2, 3, 4]"
73,116800000,35445.454545454544,Asterix,Amp,"[0, 1, 2, 3, 4]"
74,118400000,35634.782608695656,Asterix,Amp,"[0, 1, 2, 3, 4]"
75,120000000,35553.333333333336,Asterix,Amp,"[0, 1, 2, 3, 4]"
76,121600000,34297.77777777778,Asterix,Amp,"[0, 1, 2, 3, 4]"
77,123200000,34064.444444444445,Asterix,Amp,"[0, 1, 2, 3, 4]"
78,124800000,34645.454545454544,Asterix,Amp,"[0, 1, 2, 3, 4]"
79,126400000,35343.47826086957,Asterix,Amp,"[0, 1, 2, 3, 4]"
80,128000000,34908.69565217391,Asterix,Amp,"[0, 1, 2, 3, 4]"
81,129600000,34778.260869565216,Asterix,Amp,"[0, 1, 2, 3, 4]"
82,131200000,35221.739130434784,Asterix,Amp,"[0, 1, 2, 3, 4]"
83,132800000,37676.74418604651,Asterix,Amp,"[0, 1, 2, 3, 4]"
84,134400000,35873.913043478264,Asterix,Amp,"[0, 1, 2, 3, 4]"
85,136000000,36828.88888888889,Asterix,Amp,"[0, 1, 2, 3, 4]"
86,137600000,35465.217391304344,Asterix,Amp,"[0, 1, 2, 3, 4]"
87,139200000,37118.181818181816,Asterix,Amp,"[0, 1, 2, 3, 4]"
